model,macro_f1,mcc,accuracy,precision,recall,false_positive_rate,false_negative_rate,roc_auc,ece,tp,fp,tn,fn
LinearSVC,0.9013062217639907,0.8133798954218092,0.9546273802993496,0.9607209325105299,0.7286775631500743,0.005285565529149696,0.2713224368499257,0.9620031440999696,0.02553757533554943,9808,401,75466,3652
IsolationForest,0.7736592123537448,0.5482444881068858,0.8797564006403439,0.5924264056020123,0.6473997028231798,0.07901986370885893,0.35260029717682023,0.8157562779323033,0.08521419887130133,8714,5995,69872,4746
HybridStack,0.9009835141026128,0.8122349538414587,0.9543698993585367,0.9565978980147918,0.7303120356612184,0.005878708793019363,0.26968796433878156,0.9620278696642248,0.008466458431624904,9830,446,75421,3630
