held_out_category,novel_recall,known_attack_recall,true_negative_rate,overall_macro_f1,overall_mcc,overall_fpr
DoS,0.7781935483870968,0.5635726795096322,0.9943980913967865,0.8848963230771092,0.7845841581806583,0.005601908603213518
DDoS,0.6350322202694786,0.7879841707638806,0.9951494061976881,0.9024121708416455,0.8157487726416115,0.00485059380231194
PortScan,0.01282051282051282,0.7335973696009566,0.9941344721684,0.9006702245899701,0.8116970457025,0.005865527831600037
Brute Force,0.0,0.7540858408431342,0.9935017860202723,0.9012310605667091,0.8120872977787607,0.006498213979727681
Web Attack,0.0,0.7344848212950501,0.9942794627440126,0.9010378880759995,0.8124831358862719,0.005720537255987452
Infiltration,0.0,0.7303662976446987,0.9941608340912386,0.9010458009548514,0.8123824698006498,0.005839165908761385
Bot,0.0,0.7283241307267572,0.9933040715989824,0.8977756589924449,0.8058099176765136,0.00669592840101757
